Horizon,Fold,Feature,Importance
0w,4,∆ Salmon (NOK/KG) 2w,0.00031331763524192343
0w,4,∆ Salmon (NOK/KG) 1m,0.00026468249253226256
0w,4,∆ Salmon (NOK/KG) 3m,0.00032855513235933005
0w,4,∆ Salmon (NOK/KG) 6m,0.00026524599031918874
0w,4,∆ Salmon (NOK/KG) 12m,9.166324020618333e-05
0w,4,Acc 1w,0.008224527940953576
0w,4,Acc 1m,0.00045124494240504355
0w,4,RVol 4w,0.00022739008951651882
0w,4,RVol 13w,0.00023518429377917478
0w,4,RVol 52w,0.0004259205986805095
0w,4,Spread (FP - SSB),0.0011313841193465741
0w,4,∆ Spread (FP - SSB),0.0002263474776008115
0w,4,FWD 1m,0.01566555435629727
0w,4,∆ FWD 1m,0.001555490141736299
0w,4,FWD 3m,0.0006809196475632711
0w,4,∆ FWD 3m,0.0004399599422355852
0w,4,FWD 6m,0.0004595873152864102
0w,4,∆ FWD 6m,0.00021860604919691338
0w,4,FWD 12m,0.001937129345793591
0w,4,∆ FWD 12m,0.0
0w,4,FWD Slope,0.001098695935655515
0w,4,FWD Curvature,0.00048438782577421856
0w,4,∆ Export Volume 1w,0.00019835339913635
0w,4,∆ Export Volume 2w,0.0004980902671057064
0w,4,∆ Export Volume 1m,0.0004437666636583435
0w,4,∆ Chilean Exports 1w,3.7237834916115475e-05
0w,4,∆ Chilean Exports 2w,0.0002201043371235273
0w,4,∆ Chilean Exports 1m,0.0
0w,4,∆ Chilean Exports 3m,0.0002303516147582859
0w,4,∆ Total Biomass Monthly,0.0011346953523192795
0w,4,∆YOY Total Biomass Monthly,0.00022994875946557826
0w,4,Avg Weight (KG) Monthly,0.0004392955649848694
0w,4,YOY Avg Weight (KG) Monthly,0.00027217959068387177
0w,4,Harvest Intensity 1m Monthly,0.0005053269274813043
0w,4,Harvest Intensity 3m Monthly,0.00011074618767076435
0w,4,Loss Rate 1m Monthly,0.0001780990798246901
0w,4,Loss Rate 3m Monthly,0.0
0w,4,Loss Rate 6m Monthly,0.0001332286819129987
0w,4,Smolt Release 2m Monthly,0.0
0w,4,Smolt Release 3m Monthly,0.00016938875884297186
0w,4,Smolt Release 4m Monthly,0.0001569337522702769
0w,4,Smolt Release 5m Monthly,0.00044125930593084885
0w,4,Smolt Release 6m Monthly,0.0001435645720929257
0w,4,Smolt Release 7m Monthly,0.0002480466354724866
0w,4,Smolt Release 8m Monthly,0.00020455487024517352
0w,4,Smolt Release 9m Monthly,0.00023851677004791454
0w,4,Smolt Release 10m Monthly,0.00031397727873552225
0w,4,Smolt Release 11m Monthly,0.00020042955325238354
0w,4,Smolt Release 12m Monthly,0.00013184070071250767
0w,4,Smolt Release 13m Monthly,0.0003117281880158835
0w,4,Smolt Release 14m Monthly,0.00032222028780407334
0w,4,Smolt Release 15m Monthly,0.0001417079083023034
0w,4,Smolt Release 16m Monthly,0.0005765118210877941
0w,4,Smolt Release 17m Monthly,0.00034257160357834823
0w,4,Smolt Release 18m Monthly,0.0001543078983105499
0w,4,ISA Outbreak,0.0006391961798856695
0w,4,ISA Outbreak 1m,0.00045358051307418023
0w,4,ISA Outbreak 3m,0.00035270545720996263
0w,4,Lice Outbreak,0.00024967018201477707
0w,4,Lice Outbreak 1m,0.00019968837759601647
0w,4,Lice Outbreak 3m,0.00018145559209820813
0w,4,Sea Temp,0.0004586443667384369
0w,4,Sea Temp 12m Avg,0.0003380397663524598
0w,4,∆ EURNOK,0.0002448847911827486
0w,4,∆ EURNOK 1w,0.0007581376868742845
0w,4,∆ EURNOK 2w,0.0003307548687188501
0w,4,∆ EURNOK 1m,0.0005306912512509467
0w,4,∆ EURNOK 3m,0.0005282091955161964
0w,4,∆ EURNOK 6m,0.0003031722730411221
0w,4,∆ EURNOK 12m,0.0002152812492413417
0w,4,CPI NO Monthly,0.00021373051086305585
0w,4,NIBOR 3m,0.00017516422603612236
0w,4,∆ Shrimp Price (Global) 1m Monthly,0.0003120744396995529
0w,4,∆ Shrimp Price (Global) 3m Monthly,0.00019587896281909713
0w,4,∆ Shrimp Price (Global) 6m Monthly,0.0
0w,4,∆ Shrimp Price (Global) 12m Monthly,9.072751100552788e-05
0w,4,∆ Broiler Price (EU) 1w,0.0003959579281522155
0w,4,∆ Broiler Price (EU) 2w,0.0005136146911020529
0w,4,∆ Broiler Price (EU) 1m,0.00036124519746563044
0w,4,∆ Broiler Price (EU) 3m,0.00011582674737945907
0w,4,∆ Broiler Price (EU) 6m,0.00011398943950112132
0w,4,∆ Broiler Price (EU) 12m,0.0
0w,4,∆ Pig Price (EU),0.00027399236503453193
0w,4,∆ Pig Price (EU) 1w,0.00024263633802633063
0w,4,∆ Pig Price (EU) 2w,0.00039932856742309637
0w,4,∆ Pig Price (EU) 1m,0.00039446205663494667
0w,4,∆ Pig Price (EU) 3m,0.0001791845455957411
0w,4,∆ Pig Price (EU) 6m,0.0
0w,4,∆ Pig Price (EU) 12m,0.0003179470457976982
0w,4,Meat CPI (EU) Monthly,0.00022302404203415556
0w,4,∆ Fishmeal 1m Monthly,0.00023100362350830252
0w,4,∆ Fishmeal 3m Monthly,0.00019024750106618444
0w,4,∆ Fishmeal 6m Monthly,0.00011651814521989607
0w,4,∆ Fishmeal 12m Monthly,9.103506185565993e-05
0w,4,Brent FWD Slope,0.00032322308554038394
0w,4,Brent FWD Curvature,0.00012308608548516222
0w,4,Soybean FWD Slope,0.0003604277709307677
0w,4,Soybean FWD Curvature,0.0
0w,4,Month_01,0.0
0w,4,Month_02,0.0
0w,4,Month_03,0.0
0w,4,Month_04,0.0
0w,4,Month_05,0.0
0w,4,Month_06,0.0
0w,4,Month_07,0.0
0w,4,Month_08,5.033277182320914e-05
0w,4,Month_09,0.0
0w,4,Month_10,0.0
0w,4,Month_11,0.0
