Uke,År,Lokalitetsnummer,Lokalitetsnavn,Sykdom,Status,Fra dato,Til dato,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,ProduksjonsområdeId,Produksjonsområde,UtbruddsId,Subtype,Mistanke-dato,Påvist-dato,Tømt-dato,Avsluttet-dato
8,2021,24975,Kvernavika,PD,Påvist,2020-07-02,2021-08-01,4616,TYSNES,46,Vestland,60.069283,5.351183,3,Karmøy til Sotra,PD2020-106,SAV3,2020-07-02,2020-08-05,2021-01-29,2021-08-01
8,2021,11775,Kviteskjeret,PD,Påvist,2020-04-20,2021-07-20,4645,ASKVOLL,46,Vestland,61.467815,5.2203,4,Nordhordaland til Stadt,PD2020-24,SAV3,2020-04-20,2020-05-07,2021-01-07,2021-07-20
8,2021,34657,Laberget,PD,Påvist,2020-02-12,2021-06-15,4634,MASFJORDEN,46,Vestland,60.749916,5.298833,4,Nordhordaland til Stadt,PD2020-89,Unknown,2020-02-12,2020-02-21,2021-03-21,2021-06-15
8,2021,12993,Lamøya,PD,Mistanke,2020-11-25,2022-01-03,5014,FRØYA,50,Trøndelag,63.73305,8.854983,6,Nordmøre og Sør-Trøndelag,PD2020-155,SAV2,2020-11-25,,2021-11-09,2022-01-03
8,2021,11767,Langøy,PD,Avsluttet,2019-11-28,2021-02-22,4636,SOLUND,46,Vestland,61.04395,4.724283,4,Nordhordaland til Stadt,PD2019-12,SAV3,2019-11-28,2019-12-11,2020-12-14,2021-02-22
8,2021,13055,Langøyna Ø,PD,Påvist,2020-07-16,2021-06-29,1146,TYSVÆR,11,Rogaland,59.2983,5.713333,2,Ryfylke,PD2020-114,SAV3,2020-07-16,2020-07-29,2021-04-11,2021-06-29
8,2021,13699,Leirvika,PD,Påvist,2020-07-01,2021-12-11,4634,MASFJORDEN,46,Vestland,60.74215,5.344317,4,Nordhordaland til Stadt,PD2020-102,SAV3,2020-07-01,2020-07-14,2021-07-05,2021-12-11
8,2021,12392,Lille Torsøy,PD,Påvist,2020-04-02,2021-05-14,5056,HITRA,50,Trøndelag,63.605633,8.48855,6,Nordmøre og Sør-Trøndelag,PD2020-39,SAV2,2020-04-02,2020-05-18,2021-04-14,2021-05-14
8,2021,29056,Lille Torsøy II,PD,Påvist,2020-05-08,,5056,HITRA,50,Trøndelag,63.60803,8.494633,6,Nordmøre og Sør-Trøndelag,PD2020-7,SAV2,2020-05-08,2020-06-12,,
8,2021,12022,Ljonesbjørgene,PD,Påvist,2020-07-03,2021-06-09,4622,KVAM,46,Vestland,60.2564,6.16585,3,Karmøy til Sotra,PD2020-103,Unknown,2020-07-03,2020-07-16,2021-01-29,2021-06-09
