Horizon,Fold,Feature,Importance
1m,3,Smolt Release 16m Monthly,0.0
1m,3,Smolt Release 17m Monthly,0.0
1m,3,Smolt Release 18m Monthly,0.0
1m,3,ISA Outbreak,0.0
1m,3,∆ EURNOK,0.0
1m,3,∆ EURNOK 1w,0.0
1m,3,∆ EURNOK 2w,0.0
1m,3,∆ EURNOK 1m,0.0
1m,3,∆ EURNOK 3m,0.0
1m,3,∆ EURNOK 6m,0.0
1m,3,∆ EURNOK 12m,0.0
1m,3,CPI NO Monthly,0.0
1m,3,NIBOR 3m,0.0
1m,3,∆ Shrimp Price (Global) 1m Monthly,0.0
1m,3,∆ Shrimp Price (Global) 3m Monthly,0.0
1m,3,∆ Shrimp Price (Global) 6m Monthly,0.0
1m,3,∆ Shrimp Price (Global) 12m Monthly,0.0
1m,3,Meat CPI (EU) Monthly,0.0
1m,3,∆ Fishmeal 1m Monthly,0.0
1m,3,∆ Fishmeal 3m Monthly,0.0
1m,3,∆ Fishmeal 6m Monthly,0.0
1m,3,∆ Fishmeal 12m Monthly,0.0
1m,3,Brent FWD Slope,0.0
1m,3,Brent FWD Curvature,0.0
1m,3,Soybean FWD Slope,0.0
1m,3,Soybean FWD Curvature,0.0
1m,3,Month_01,0.0
1m,3,Month_02,0.0
1m,3,Month_03,0.0
1m,3,Month_04,0.0
1m,3,Month_05,0.0
1m,3,Month_06,0.0
1m,3,Month_07,0.0
1m,3,Month_08,0.0
1m,3,Month_09,0.0
1m,3,Month_10,0.0
1m,4,Month_11,92.60991
1m,4,∆ Salmon (NOK/KG) 1w,7.390094
1m,4,∆ Salmon (NOK/KG) 2w,0.0
1m,4,∆ Salmon (NOK/KG) 1m,0.0
1m,4,∆ Salmon (NOK/KG) 3m,0.0
1m,4,∆ Salmon (NOK/KG) 6m,0.0
1m,4,∆ Salmon (NOK/KG) 12m,0.0
1m,4,Acc 1w,0.0
1m,4,Acc 1m,0.0
1m,4,RVol 4w,0.0
1m,4,RVol 13w,0.0
1m,4,RVol 52w,0.0
1m,4,Spread (FP - SSB),0.0
